# 260306_14:18:06.821107
t	CH1	CH2
0.000000e+00	-5.578680e-03	2.704657e+00
1.000000e-08	-6.198150e-03	2.365820e+00
2.000000e-08	-5.884177e-03	2.072633e+00
3.000000e-08	-5.668437e-03	1.849036e+00
4.000000e-08	-6.363891e-03	1.472162e+00
5.000000e-08	-5.523798e-03	1.154900e+00
6.000000e-08	-4.662235e-03	8.510288e-01
7.000000e-08	-4.550947e-03	5.664484e-01
8.000000e-08	-3.720258e-03	2.841856e-01
9.000000e-08	-2.337996e-03	-4.310302e-02
1.000000e-07	4.788202e-03	-2.862594e-01
1.100000e-07	2.750386e-03	-4.867648e-01
1.200000e-07	-4.000346e-03	-8.631029e-01
1.300000e-07	5.186856e-04	-1.087187e+00
1.400000e-07	-3.685503e-03	-1.390420e+00
1.500000e-07	-1.454485e-03	-1.682656e+00
1.600000e-07	9.234722e-03	-1.877184e+00
1.700000e-07	5.283843e-02	-2.125817e+00
1.800000e-07	7.852798e-02	-2.442003e+00
1.900000e-07	-9.448430e-02	-2.860951e+00
2.000000e-07	-3.454252e-03	-3.201975e+00
2.100000e-07	-4.229420e-02	-3.463631e+00
2.200000e-07	-2.866167e-02	-3.665135e+00
2.300000e-07	-8.572253e-02	-3.979268e+00
2.400000e-07	1.645455e-01	-4.104208e+00
2.500000e-07	-3.152286e-02	-4.337693e+00
2.600000e-07	-4.700779e-02	-4.674579e+00
2.700000e-07	1.266362e-01	-4.893608e+00
2.800000e-07	-1.666510e-01	-5.272399e+00
2.900000e-07	1.579892e-01	-5.598216e+00
3.000000e-07	-9.066127e-02	-5.840397e+00
3.100000e-07	2.861374e-04	-6.124059e+00
3.200000e-07	8.524162e-02	-6.404567e+00
3.300000e-07	-1.112655e-01	-6.632424e+00
3.400000e-07	1.020508e-01	-6.925587e+00
3.500000e-07	-9.263301e-02	-7.212348e+00
3.600000e-07	5.372807e-02	-7.503049e+00
3.700000e-07	-7.949420e-03	-7.807615e+00
3.800000e-07	-4.182245e-02	-8.102408e+00
3.900000e-07	9.152511e-02	-8.303431e+00
4.000000e-07	-8.246087e-02	-8.565614e+00
4.100000e-07	7.781217e-02	-8.809229e+00
