# 260306_14:41:27.033535
t	CH1	CH2
0.000000e+00	-5.107067e-03	1.545365e+00
1.000000e-08	-6.574472e-03	1.294207e+00
2.000000e-08	-5.972715e-03	1.049498e+00
3.000000e-08	-6.017703e-03	7.452936e-01
4.000000e-08	-5.839184e-03	5.153422e-01
5.000000e-08	-4.628330e-03	3.547659e-01
6.000000e-08	-4.501487e-03	3.015541e-02
7.000000e-08	7.708728e-04	-1.499160e-01
8.000000e-08	6.593530e-03	-3.594473e-01
9.000000e-08	-4.365398e-03	-5.604761e-01
1.000000e-07	4.981274e-03	-8.116802e-01
1.100000e-07	-4.850802e-03	-1.033203e+00
1.200000e-07	1.155265e-03	-1.224760e+00
1.300000e-07	-4.401703e-03	-1.567343e+00
1.400000e-07	2.178434e-02	-1.716764e+00
1.500000e-07	8.661286e-02	-1.885734e+00
1.600000e-07	-1.685855e-03	-2.211045e+00
1.700000e-07	-6.970244e-02	-2.527342e+00
1.800000e-07	-1.166316e-06	-2.809851e+00
1.900000e-07	-5.877177e-02	-2.972551e+00
2.000000e-07	-8.405741e-02	-3.220025e+00
2.100000e-07	1.845948e-01	-3.274736e+00
2.200000e-07	-4.424743e-02	-3.497339e+00
2.300000e-07	-5.950659e-02	-3.758421e+00
2.400000e-07	1.587825e-01	-3.959420e+00
2.500000e-07	-2.274326e-01	-4.231002e+00
2.600000e-07	1.519577e-01	-4.411528e+00
2.700000e-07	2.294656e-02	-4.624552e+00
2.800000e-07	-1.079433e-01	-4.866262e+00
2.900000e-07	1.603726e-01	-5.064185e+00
3.000000e-07	-1.395341e-01	-5.368918e+00
3.100000e-07	8.722611e-02	-5.622554e+00
3.200000e-07	2.241488e-02	-5.792475e+00
3.300000e-07	-1.028920e-01	-6.032080e+00
3.400000e-07	1.210178e-01	-6.243629e+00
3.500000e-07	-9.552222e-02	-6.456160e+00
3.600000e-07	1.061134e-01	-6.695763e+00
3.700000e-07	-3.018400e-02	-6.885655e+00
3.800000e-07	-2.678096e-02	-7.109265e+00
3.900000e-07	8.732640e-02	-7.308288e+00
4.000000e-07	-1.041575e-01	-7.509387e+00
4.100000e-07	1.056423e-01	-7.708921e+00
4.200000e-07	-6.345624e-02	-7.958471e+00
4.300000e-07	5.394940e-02	-8.138418e+00
4.400000e-07	6.095435e-03	-8.306742e+00
4.500000e-07	-2.675995e-02	-8.516707e+00
4.600000e-07	4.966185e-02	-8.693631e+00
4.700000e-07	-3.357663e-02	-8.855134e+00
4.800000e-07	6.005139e-02	-9.050525e+00
4.900000e-07	-3.779754e-02	-9.169838e+00
5.000000e-07	3.710496e-02	-9.326818e+00
5.100000e-07	4.140997e-05	-9.504237e+00
5.200000e-07	8.046906e-03	-9.684631e+00
5.300000e-07	1.674427e-02	-9.769446e+00
5.400000e-07	-4.895454e-03	-9.925815e+00
5.500000e-07	3.411394e-02	-1.005320e+01
5.600000e-07	-1.046356e-02	-1.023501e+01
5.700000e-07	2.700392e-02	-1.041047e+01
5.800000e-07	-8.580992e-03	-1.051829e+01
5.900000e-07	2.591053e-02	-1.066360e+01
6.000000e-07	2.449380e-03	-1.072990e+01
6.100000e-07	2.133509e-02	-1.086777e+01
6.200000e-07	1.133266e-02	-1.100200e+01
6.300000e-07	1.153138e-02	-1.119089e+01
6.400000e-07	1.177969e-02	-1.129713e+01
6.500000e-07	9.499540e-03	-1.143245e+01
6.600000e-07	2.271371e-02	-1.152673e+01
6.700000e-07	1.248433e-02	-1.165305e+01
6.800000e-07	2.267592e-02	-1.177087e+01
6.900000e-07	7.441503e-03	-1.189568e+01
7.000000e-07	1.972021e-02	-1.196936e+01
7.100000e-07	1.359772e-02	-1.205406e+01
7.200000e-07	2.151021e-02	-1.212831e+01
7.300000e-07	1.670947e-02	-1.218094e+01
7.400000e-07	1.935525e-02	-1.225306e+01
7.500000e-07	1.935948e-02	-1.226666e+01
7.600000e-07	1.843467e-02	-1.238924e+01
7.700000e-07	2.050142e-02	-1.242248e+01
7.800000e-07	1.841011e-02	-1.247458e+01
7.900000e-07	2.119445e-02	-1.253934e+01
8.000000e-07	2.013327e-02	-1.256980e+01
8.100000e-07	2.447851e-02	-1.260345e+01
8.200000e-07	2.407752e-02	-1.264295e+01
8.300000e-07	2.374081e-02	-1.265353e+01
8.400000e-07	2.366717e-02	-1.268503e+01
