# Temperatura_=_72.17516129032259
# Concentracion g/m^3_=_26700.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_302223.15561322117
# Promedio de 31 ciclos

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-6.651248e-09	-2.596723e-08	-4.770296e+01	-1.698817e+03
1.000000e-08	-6.649004e-09	-2.596543e-08	-4.768687e+01	-1.698721e+03
2.000000e-08	-6.644462e-09	-2.596009e-08	-4.765429e+01	-1.698456e+03
3.000000e-08	-6.637867e-09	-2.595240e-08	-4.760700e+01	-1.698010e+03
4.000000e-08	-6.629147e-09	-2.594110e-08	-4.754446e+01	-1.697372e+03
5.000000e-08	-6.618039e-09	-2.592592e-08	-4.746480e+01	-1.696537e+03
6.000000e-08	-6.604444e-09	-2.590900e-08	-4.736729e+01	-1.695509e+03
7.000000e-08	-6.588440e-09	-2.588879e-08	-4.725251e+01	-1.694297e+03
8.000000e-08	-6.570250e-09	-2.586829e-08	-4.712206e+01	-1.692923e+03
9.000000e-08	-6.549973e-09	-2.587029e-08	-4.697663e+01	-1.691414e+03
1.000000e-07	-6.527262e-09	-2.585934e-08	-4.681375e+01	-1.689799e+03
1.100000e-07	-6.501799e-09	-2.581662e-08	-4.663113e+01	-1.688109e+03
1.200000e-07	-6.473804e-09	-2.577244e-08	-4.643035e+01	-1.686368e+03
1.300000e-07	-6.443740e-09	-2.573302e-08	-4.621474e+01	-1.684590e+03
1.400000e-07	-6.411875e-09	-2.567414e-08	-4.598621e+01	-1.682778e+03
1.500000e-07	-6.378176e-09	-2.564898e-08	-4.574451e+01	-1.680919e+03
1.600000e-07	-6.342489e-09	-2.565801e-08	-4.548857e+01	-1.678987e+03
1.700000e-07	-6.304803e-09	-2.559111e-08	-4.521829e+01	-1.676944e+03
1.800000e-07	-6.265101e-09	-2.555781e-08	-4.493354e+01	-1.674748e+03
1.900000e-07	-6.223038e-09	-2.552770e-08	-4.463187e+01	-1.672357e+03
2.000000e-07	-6.178553e-09	-2.545417e-08	-4.431283e+01	-1.669735e+03
2.100000e-07	-6.131880e-09	-2.542000e-08	-4.397809e+01	-1.666862e+03
2.200000e-07	-6.082727e-09	-2.536705e-08	-4.362556e+01	-1.663730e+03
2.300000e-07	-6.030946e-09	-2.531678e-08	-4.325419e+01	-1.660350e+03
2.400000e-07	-5.976761e-09	-2.527033e-08	-4.286558e+01	-1.656747e+03
2.500000e-07	-5.920298e-09	-2.520247e-08	-4.246063e+01	-1.652952e+03
2.600000e-07	-5.861567e-09	-2.515025e-08	-4.203941e+01	-1.649001e+03
2.700000e-07	-5.800659e-09	-2.509104e-08	-4.160257e+01	-1.644922e+03
2.800000e-07	-5.737736e-09	-2.502099e-08	-4.115129e+01	-1.640732e+03
2.900000e-07	-5.672713e-09	-2.495707e-08	-4.068495e+01	-1.636436e+03
3.000000e-07	-5.605448e-09	-2.489304e-08	-4.020253e+01	-1.632022e+03
