# Temperatura_=_78.34
# Concentracion g/m^3_=_26700.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_301765.6798276094

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-5.250758e-06	-2.181117e-08	-3.830417e+01	-1.424371e+03
1.000000e-08	-5.248819e-06	-2.181232e-08	-3.829002e+01	-1.424457e+03
2.000000e-08	-5.245001e-06	-2.180748e-08	-3.826217e+01	-1.424364e+03
3.000000e-08	-5.239575e-06	-2.179978e-08	-3.822259e+01	-1.424078e+03
4.000000e-08	-5.232585e-06	-2.178974e-08	-3.817160e+01	-1.423581e+03
5.000000e-08	-5.223910e-06	-2.177713e-08	-3.810831e+01	-1.422852e+03
6.000000e-08	-5.213231e-06	-2.176015e-08	-3.803041e+01	-1.421877e+03
7.000000e-08	-5.200601e-06	-2.173591e-08	-3.793827e+01	-1.420651e+03
8.000000e-08	-5.186024e-06	-2.171439e-08	-3.783194e+01	-1.419185e+03
9.000000e-08	-5.169257e-06	-2.170868e-08	-3.770962e+01	-1.417507e+03
1.000000e-07	-5.150408e-06	-2.167843e-08	-3.757212e+01	-1.415657e+03
1.100000e-07	-5.129708e-06	-2.163627e-08	-3.742111e+01	-1.413683e+03
1.200000e-07	-5.107288e-06	-2.160488e-08	-3.725755e+01	-1.411631e+03
1.300000e-07	-5.083387e-06	-2.154080e-08	-3.708320e+01	-1.409538e+03
1.400000e-07	-5.058012e-06	-2.150853e-08	-3.689809e+01	-1.407424e+03
1.500000e-07	-5.030961e-06	-2.151711e-08	-3.670075e+01	-1.405288e+03
1.600000e-07	-5.002330e-06	-2.142674e-08	-3.649189e+01	-1.403107e+03
1.700000e-07	-4.972297e-06	-2.139541e-08	-3.627280e+01	-1.400839e+03
1.800000e-07	-4.940629e-06	-2.139394e-08	-3.604178e+01	-1.398432e+03
1.900000e-07	-4.906876e-06	-2.128313e-08	-3.579555e+01	-1.395832e+03
2.000000e-07	-4.871349e-06	-2.127072e-08	-3.553638e+01	-1.392993e+03
2.100000e-07	-4.834325e-06	-2.124092e-08	-3.526630e+01	-1.389882e+03
