# 260306_12:32:22.382566
t	CH1	CH2
0.000000e+00	-4.800204e-03	4.457855e-01
1.000000e-08	-3.522082e-03	2.879196e-01
2.000000e-08	-3.920078e-03	8.526186e-02
3.000000e-08	9.251742e-05	-9.265552e-02
4.000000e-08	2.778795e-03	-2.601064e-01
5.000000e-08	-1.870123e-03	-4.494751e-01
6.000000e-08	1.339431e-03	-6.403466e-01
7.000000e-08	-2.662486e-03	-7.983989e-01
8.000000e-08	-3.260294e-05	-9.948672e-01
9.000000e-08	-9.470605e-04	-1.132685e+00
1.000000e-07	1.078660e-02	-1.346129e+00
1.100000e-07	6.423196e-02	-1.562709e+00
1.200000e-07	3.185532e-02	-1.763084e+00
1.300000e-07	-6.599562e-02	-2.006344e+00
1.400000e-07	-1.858889e-02	-2.291478e+00
1.500000e-07	-9.641024e-02	-2.430999e+00
1.600000e-07	4.272111e-02	-2.524233e+00
1.700000e-07	1.127898e-01	-2.566845e+00
1.800000e-07	-1.458189e-01	-2.856269e+00
1.900000e-07	1.144369e-01	-2.998921e+00
2.000000e-07	5.642562e-02	-3.153689e+00
2.100000e-07	-1.591314e-01	-3.383692e+00
2.200000e-07	1.358670e-01	-3.576310e+00
2.300000e-07	3.628386e-02	-3.690498e+00
2.400000e-07	-9.674881e-02	-3.922154e+00
2.500000e-07	1.287260e-01	-4.041553e+00
2.600000e-07	-1.087405e-01	-4.257420e+00
2.700000e-07	4.935388e-02	-4.440420e+00
2.800000e-07	7.754928e-02	-4.554233e+00
2.900000e-07	-1.365562e-01	-4.816840e+00
3.000000e-07	1.031963e-01	-4.944765e+00
3.100000e-07	-1.413378e-02	-5.121579e+00
3.200000e-07	-1.620599e-02	-5.314059e+00
3.300000e-07	5.676382e-02	-5.463158e+00
3.400000e-07	-6.316970e-02	-5.672602e+00
3.500000e-07	9.344271e-02	-5.840498e+00
3.600000e-07	-4.642516e-02	-5.985844e+00
3.700000e-07	-1.320629e-02	-6.135707e+00
3.800000e-07	4.657137e-02	-6.301107e+00
3.900000e-07	-3.102571e-02	-6.471503e+00
4.000000e-07	8.233221e-02	-6.616897e+00
4.100000e-07	-5.738822e-02	-6.734241e+00
4.200000e-07	2.568819e-02	-6.871105e+00
4.300000e-07	3.107281e-02	-7.055645e+00
4.400000e-07	-3.153129e-02	-7.217895e+00
4.500000e-07	5.026896e-02	-7.313658e+00
4.600000e-07	-2.093327e-02	-7.458396e+00
4.700000e-07	4.540254e-02	-7.608822e+00
4.800000e-07	-1.333902e-02	-7.762610e+00
4.900000e-07	5.803188e-03	-7.891603e+00
5.000000e-07	3.236032e-02	-7.996950e+00
5.100000e-07	-9.845053e-05	-8.093709e+00
5.200000e-07	3.470752e-02	-8.230497e+00
5.300000e-07	-8.432236e-03	-8.323660e+00
5.400000e-07	2.944119e-02	-8.399477e+00
5.500000e-07	5.936019e-03	-8.524636e+00
5.600000e-07	1.502184e-02	-8.692459e+00
5.700000e-07	2.279055e-02	-8.799821e+00
5.800000e-07	1.466786e-02	-8.882081e+00
5.900000e-07	2.440150e-02	-8.946820e+00
6.000000e-07	9.768533e-03	-9.041526e+00
6.100000e-07	2.726961e-02	-9.135766e+00
6.200000e-07	1.910609e-02	-9.208946e+00
6.300000e-07	2.665820e-02	-9.282105e+00
6.400000e-07	2.402181e-02	-9.387687e+00
6.500000e-07	2.366488e-02	-9.492557e+00
