# Temperatura_=_88.54
# Concentracion g/m^3_=_28200.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_301943.35204236675

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-5.848352e-06	-2.570768e-08	-4.194678e+01	-1.685298e+03
1.000000e-08	-5.846615e-06	-2.570668e-08	-4.193433e+01	-1.684885e+03
2.000000e-08	-5.842846e-06	-2.569956e-08	-4.190729e+01	-1.684283e+03
3.000000e-08	-5.837274e-06	-2.568633e-08	-4.186733e+01	-1.683495e+03
4.000000e-08	-5.829967e-06	-2.567252e-08	-4.181492e+01	-1.682519e+03
5.000000e-08	-5.820749e-06	-2.565199e-08	-4.174880e+01	-1.681349e+03
6.000000e-08	-5.809312e-06	-2.562794e-08	-4.166678e+01	-1.679974e+03
7.000000e-08	-5.795796e-06	-2.559882e-08	-4.156983e+01	-1.678381e+03
8.000000e-08	-5.780156e-06	-2.556131e-08	-4.145765e+01	-1.676563e+03
9.000000e-08	-5.762373e-06	-2.557611e-08	-4.133011e+01	-1.674519e+03
1.000000e-07	-5.742587e-06	-2.560626e-08	-4.118819e+01	-1.672256e+03
1.100000e-07	-5.720600e-06	-2.551762e-08	-4.103049e+01	-1.669795e+03
1.200000e-07	-5.696313e-06	-2.543324e-08	-4.085630e+01	-1.667165e+03
1.300000e-07	-5.669849e-06	-2.539891e-08	-4.066649e+01	-1.664397e+03
1.400000e-07	-5.641703e-06	-2.525878e-08	-4.046461e+01	-1.661520e+03
1.500000e-07	-5.612210e-06	-2.524416e-08	-4.025308e+01	-1.658551e+03
1.600000e-07	-5.581162e-06	-2.536665e-08	-4.003039e+01	-1.655487e+03
1.700000e-07	-5.548283e-06	-2.515212e-08	-3.979456e+01	-1.652307e+03
1.800000e-07	-5.513474e-06	-2.512251e-08	-3.954490e+01	-1.648969e+03
1.900000e-07	-5.476681e-06	-2.516030e-08	-3.928101e+01	-1.645417e+03
2.000000e-07	-5.437983e-06	-2.493570e-08	-3.900345e+01	-1.641593e+03
2.100000e-07	-5.397493e-06	-2.500173e-08	-3.871304e+01	-1.637445e+03
2.200000e-07	-5.354901e-06	-2.498059e-08	-3.840755e+01	-1.632937e+03
2.300000e-07	-5.310201e-06	-2.481526e-08	-3.808695e+01	-1.628057e+03
2.400000e-07	-5.263565e-06	-2.475725e-08	-3.775245e+01	-1.622815e+03
2.500000e-07	-5.214685e-06	-2.461608e-08	-3.740186e+01	-1.617243e+03
2.600000e-07	-5.163399e-06	-2.453461e-08	-3.703402e+01	-1.611380e+03
2.700000e-07	-5.109889e-06	-2.449827e-08	-3.665022e+01	-1.605270e+03
2.800000e-07	-5.054545e-06	-2.438217e-08	-3.625327e+01	-1.598943e+03
2.900000e-07	-4.997382e-06	-2.428416e-08	-3.584327e+01	-1.592414e+03
3.000000e-07	-4.938220e-06	-2.415206e-08	-3.541894e+01	-1.585678e+03
3.100000e-07	-4.877255e-06	-2.404191e-08	-3.498168e+01	-1.578710e+03
3.200000e-07	-4.814613e-06	-2.393502e-08	-3.453238e+01	-1.571476e+03
3.300000e-07	-4.750229e-06	-2.384649e-08	-3.407060e+01	-1.563941e+03
3.400000e-07	-4.683973e-06	-2.373657e-08	-3.359538e+01	-1.556071e+03
3.500000e-07	-4.615924e-06	-2.357631e-08	-3.310730e+01	-1.547850e+03
3.600000e-07	-4.546244e-06	-2.345580e-08	-3.260753e+01	-1.539272e+03
3.700000e-07	-4.475036e-06	-2.330024e-08	-3.209680e+01	-1.530343e+03
3.800000e-07	-4.402296e-06	-2.317828e-08	-3.157508e+01	-1.521074e+03
3.900000e-07	-4.327733e-06	-2.305960e-08	-3.104028e+01	-1.511474e+03
4.000000e-07	-4.251320e-06	-2.288783e-08	-3.049221e+01	-1.501545e+03
4.100000e-07	-4.173269e-06	-2.272391e-08	-2.993240e+01	-1.491275e+03
4.200000e-07	-4.093530e-06	-2.255654e-08	-2.936048e+01	-1.480642e+03
4.300000e-07	-4.012203e-06	-2.239226e-08	-2.877717e+01	-1.469614e+03
4.400000e-07	-3.929577e-06	-2.220959e-08	-2.818454e+01	-1.458159e+03
4.500000e-07	-3.845809e-06	-2.202714e-08	-2.758372e+01	-1.446251e+03
4.600000e-07	-3.760906e-06	-2.184050e-08	-2.697476e+01	-1.433872e+03
4.700000e-07	-3.674745e-06	-2.163872e-08	-2.635678e+01	-1.421015e+03
4.800000e-07	-3.587422e-06	-2.144245e-08	-2.573046e+01	-1.407683e+03
4.900000e-07	-3.498953e-06	-2.123785e-08	-2.509593e+01	-1.393879e+03
5.000000e-07	-3.409021e-06	-2.102068e-08	-2.445090e+01	-1.379603e+03
5.100000e-07	-3.317640e-06	-2.078589e-08	-2.379548e+01	-1.364843e+03
5.200000e-07	-3.225094e-06	-2.054610e-08	-2.313170e+01	-1.349569e+03
5.300000e-07	-3.131500e-06	-2.030361e-08	-2.246041e+01	-1.333738e+03
5.400000e-07	-3.036827e-06	-2.005312e-08	-2.178137e+01	-1.317294e+03
