# Temperatura_=_44.69
# Concentracion g/m^3_=_28370.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_302401.6699421663

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-7.337881e-06	-2.618306e-08	-5.318552e+01	-1.714580e+03
1.000000e-08	-7.334430e-06	-2.618438e-08	-5.316050e+01	-1.713796e+03
2.000000e-08	-7.328558e-06	-2.617414e-08	-5.311794e+01	-1.712906e+03
3.000000e-08	-7.320403e-06	-2.616157e-08	-5.305883e+01	-1.711967e+03
4.000000e-08	-7.309708e-06	-2.614819e-08	-5.298131e+01	-1.711019e+03
5.000000e-08	-7.296248e-06	-2.613065e-08	-5.288376e+01	-1.710082e+03
6.000000e-08	-7.280083e-06	-2.610801e-08	-5.276659e+01	-1.709152e+03
7.000000e-08	-7.261594e-06	-2.608257e-08	-5.263258e+01	-1.708202e+03
8.000000e-08	-7.241057e-06	-2.605475e-08	-5.248373e+01	-1.707189e+03
9.000000e-08	-7.218031e-06	-2.610220e-08	-5.231683e+01	-1.706058e+03
1.000000e-07	-7.192055e-06	-2.609699e-08	-5.212856e+01	-1.704760e+03
1.100000e-07	-7.163210e-06	-2.600323e-08	-5.191948e+01	-1.703250e+03
1.200000e-07	-7.131807e-06	-2.595573e-08	-5.169188e+01	-1.701505e+03
1.300000e-07	-7.097907e-06	-2.593961e-08	-5.144617e+01	-1.699519e+03
1.400000e-07	-7.061741e-06	-2.587479e-08	-5.118403e+01	-1.697306e+03
1.500000e-07	-7.023770e-06	-2.577206e-08	-5.090882e+01	-1.694897e+03
1.600000e-07	-6.983763e-06	-2.586537e-08	-5.061884e+01	-1.692331e+03
1.700000e-07	-6.941215e-06	-2.581123e-08	-5.031045e+01	-1.689647e+03
1.800000e-07	-6.896248e-06	-2.563947e-08	-4.998452e+01	-1.686876e+03
1.900000e-07	-6.848805e-06	-2.572588e-08	-4.964066e+01	-1.684030e+03
2.000000e-07	-6.798527e-06	-2.564478e-08	-4.927623e+01	-1.681101e+03
2.100000e-07	-6.745528e-06	-2.556781e-08	-4.889210e+01	-1.678058e+03
2.200000e-07	-6.689936e-06	-2.555449e-08	-4.848916e+01	-1.674851e+03
2.300000e-07	-6.631851e-06	-2.543819e-08	-4.806816e+01	-1.671419e+03
2.400000e-07	-6.571368e-06	-2.540913e-08	-4.762977e+01	-1.667698e+03
2.500000e-07	-6.508484e-06	-2.532847e-08	-4.717398e+01	-1.663631e+03
2.600000e-07	-6.443120e-06	-2.526447e-08	-4.670022e+01	-1.659180e+03
2.700000e-07	-6.375169e-06	-2.518567e-08	-4.620771e+01	-1.654329e+03
2.800000e-07	-6.304859e-06	-2.511519e-08	-4.569809e+01	-1.649091e+03
2.900000e-07	-6.232267e-06	-2.503318e-08	-4.517194e+01	-1.643501e+03
3.000000e-07	-6.157147e-06	-2.491539e-08	-4.462747e+01	-1.637614e+03
3.100000e-07	-6.079365e-06	-2.487568e-08	-4.406370e+01	-1.631494e+03
3.200000e-07	-5.999106e-06	-2.478417e-08	-4.348197e+01	-1.625202e+03
