# Temperatura_=_42.16
# Concentracion g/m^3_=_28370.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_302443.4083435868

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-7.979147e-06	-6.018052e-08	-5.688336e+01	-3.941190e+03
1.000000e-08	-7.976621e-06	-6.017445e-08	-5.686535e+01	-3.939926e+03
2.000000e-08	-7.971486e-06	-6.015826e-08	-5.682875e+01	-3.938333e+03
3.000000e-08	-7.963802e-06	-6.013434e-08	-5.677396e+01	-3.936514e+03
4.000000e-08	-7.953322e-06	-6.010812e-08	-5.669925e+01	-3.934558e+03
5.000000e-08	-7.939881e-06	-6.007521e-08	-5.660343e+01	-3.932528e+03
6.000000e-08	-7.923483e-06	-6.003229e-08	-5.648653e+01	-3.930451e+03
7.000000e-08	-7.904615e-06	-5.998639e-08	-5.635202e+01	-3.928319e+03
8.000000e-08	-7.883554e-06	-5.993969e-08	-5.620188e+01	-3.926086e+03
9.000000e-08	-7.859822e-06	-5.995829e-08	-5.603269e+01	-3.923688e+03
1.000000e-07	-7.832934e-06	-5.994275e-08	-5.584101e+01	-3.921046e+03
1.100000e-07	-7.802955e-06	-5.981923e-08	-5.562728e+01	-3.918091e+03
1.200000e-07	-7.770091e-06	-5.973090e-08	-5.539299e+01	-3.914770e+03
1.300000e-07	-7.734464e-06	-5.967535e-08	-5.513901e+01	-3.911058e+03
1.400000e-07	-7.696440e-06	-5.958096e-08	-5.486794e+01	-3.906961e+03
1.500000e-07	-7.656145e-06	-5.945164e-08	-5.458067e+01	-3.902512e+03
1.600000e-07	-7.613436e-06	-5.942487e-08	-5.427620e+01	-3.897761e+03
1.700000e-07	-7.568158e-06	-5.940989e-08	-5.395342e+01	-3.892764e+03
1.800000e-07	-7.520251e-06	-5.920228e-08	-5.361189e+01	-3.887565e+03
1.900000e-07	-7.469476e-06	-5.915615e-08	-5.324991e+01	-3.882185e+03
2.000000e-07	-7.415691e-06	-5.909394e-08	-5.286648e+01	-3.876609e+03
2.100000e-07	-7.359123e-06	-5.894085e-08	-5.246321e+01	-3.870785e+03
2.200000e-07	-7.299892e-06	-5.886826e-08	-5.204095e+01	-3.864623e+03
2.300000e-07	-7.238111e-06	-5.870766e-08	-5.160051e+01	-3.858011e+03
2.400000e-07	-7.173655e-06	-5.859152e-08	-5.114101e+01	-3.850823e+03
2.500000e-07	-7.106398e-06	-5.843418e-08	-5.066153e+01	-3.842942e+03
2.600000e-07	-7.036429e-06	-5.830368e-08	-5.016272e+01	-3.834277e+03
2.700000e-07	-6.963687e-06	-5.815988e-08	-4.964414e+01	-3.824778e+03
2.800000e-07	-6.888208e-06	-5.799717e-08	-4.910605e+01	-3.814440e+03
2.900000e-07	-6.809976e-06	-5.785048e-08	-4.854834e+01	-3.803309e+03
3.000000e-07	-6.728983e-06	-5.765870e-08	-4.797094e+01	-3.791471e+03
3.100000e-07	-6.645582e-06	-5.749364e-08	-4.737637e+01	-3.779039e+03
3.200000e-07	-6.559977e-06	-5.729969e-08	-4.676609e+01	-3.766126e+03
3.300000e-07	-6.472056e-06	-5.710435e-08	-4.613931e+01	-3.752833e+03
3.400000e-07	-6.381734e-06	-5.689286e-08	-4.549540e+01	-3.739218e+03
3.500000e-07	-6.289081e-06	-5.665620e-08	-4.483488e+01	-3.725290e+03
3.600000e-07	-6.194234e-06	-5.644002e-08	-4.415871e+01	-3.710997e+03
3.700000e-07	-6.097080e-06	-5.620566e-08	-4.346610e+01	-3.696230e+03
3.800000e-07	-5.997615e-06	-5.595486e-08	-4.275701e+01	-3.680837e+03
3.900000e-07	-5.896063e-06	-5.568854e-08	-4.203304e+01	-3.664640e+03
4.000000e-07	-5.792464e-06	-5.541881e-08	-4.129449e+01	-3.647463e+03
4.100000e-07	-5.686744e-06	-5.512829e-08	-4.054081e+01	-3.629153e+03
4.200000e-07	-5.579034e-06	-5.482425e-08	-3.977295e+01	-3.609602e+03
4.300000e-07	-5.469466e-06	-5.451604e-08	-3.899184e+01	-3.588762e+03
4.400000e-07	-5.357945e-06	-5.418253e-08	-3.819680e+01	-3.566644e+03
4.500000e-07	-5.244301e-06	-5.382966e-08	-3.738664e+01	-3.543314e+03
4.600000e-07	-5.128580e-06	-5.346418e-08	-3.656166e+01	-3.518867e+03
4.700000e-07	-5.010962e-06	-5.308634e-08	-3.572316e+01	-3.493409e+03
4.800000e-07	-4.891505e-06	-5.268606e-08	-3.487155e+01	-3.467023e+03
4.900000e-07	-4.770268e-06	-5.226976e-08	-3.400725e+01	-3.439739e+03
5.000000e-07	-4.647256e-06	-5.183554e-08	-3.313030e+01	-3.411518e+03
5.100000e-07	-4.522551e-06	-5.137463e-08	-3.224128e+01	-3.382239e+03
5.200000e-07	-4.396220e-06	-5.088689e-08	-3.134066e+01	-3.351703e+03
5.300000e-07	-4.268356e-06	-5.037679e-08	-3.042912e+01	-3.319646e+03
5.400000e-07	-4.138968e-06	-4.984141e-08	-2.950671e+01	-3.285770e+03
5.500000e-07	-4.008001e-06	-4.927590e-08	-2.857305e+01	-3.249774e+03
5.600000e-07	-3.875543e-06	-4.867919e-08	-2.762876e+01	-3.211388e+03
5.700000e-07	-3.741577e-06	-4.805452e-08	-2.667371e+01	-3.170408e+03
5.800000e-07	-3.606134e-06	-4.739555e-08	-2.570814e+01	-3.126707e+03
5.900000e-07	-3.469289e-06	-4.670247e-08	-2.473257e+01	-3.080239e+03
6.000000e-07	-3.331072e-06	-4.596995e-08	-2.374722e+01	-3.031028e+03
6.100000e-07	-3.191429e-06	-4.519380e-08	-2.275171e+01	-2.979125e+03
6.200000e-07	-3.050392e-06	-4.436855e-08	-2.174626e+01	-2.924569e+03
6.300000e-07	-2.908103e-06	-4.349130e-08	-2.073187e+01	-2.867328e+03
6.400000e-07	-2.764680e-06	-4.256348e-08	-1.970941e+01	-2.807245e+03
6.500000e-07	-2.620234e-06	-4.157763e-08	-1.867965e+01	-2.743999e+03
6.600000e-07	-2.474880e-06	-4.053138e-08	-1.764343e+01	-2.677077e+03
6.700000e-07	-2.328685e-06	-3.941384e-08	-1.660120e+01	-2.605777e+03
6.800000e-07	-2.181778e-06	-3.821945e-08	-1.555390e+01	-2.529238e+03
6.900000e-07	-2.034232e-06	-3.693726e-08	-1.450204e+01	-2.446499e+03
