# Temperatura_=_62.12
# Concentracion g/m^3_=_56400.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_302442.248784072

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-7.975242e-06	-5.982307e-08	-5.687910e+01	-3.916456e+03
1.000000e-08	-7.972040e-06	-5.981377e-08	-5.685626e+01	-3.916075e+03
2.000000e-08	-7.966215e-06	-5.979491e-08	-5.681472e+01	-3.915452e+03
3.000000e-08	-7.957847e-06	-5.977053e-08	-5.675504e+01	-3.914454e+03
4.000000e-08	-7.946717e-06	-5.974326e-08	-5.667566e+01	-3.912974e+03
5.000000e-08	-7.932639e-06	-5.970833e-08	-5.657525e+01	-3.910957e+03
6.000000e-08	-7.915752e-06	-5.966518e-08	-5.645482e+01	-3.908424e+03
7.000000e-08	-7.896442e-06	-5.961878e-08	-5.631710e+01	-3.905468e+03
8.000000e-08	-7.874831e-06	-5.957983e-08	-5.616297e+01	-3.902225e+03
9.000000e-08	-7.850389e-06	-5.960070e-08	-5.598865e+01	-3.898847e+03
1.000000e-07	-7.822784e-06	-5.955704e-08	-5.579177e+01	-3.895460e+03
1.100000e-07	-7.792193e-06	-5.944200e-08	-5.557360e+01	-3.892132e+03
1.200000e-07	-7.758756e-06	-5.936805e-08	-5.533513e+01	-3.888862e+03
1.300000e-07	-7.722550e-06	-5.929492e-08	-5.507691e+01	-3.885586e+03
1.400000e-07	-7.683935e-06	-5.917830e-08	-5.480151e+01	-3.882191e+03
1.500000e-07	-7.643141e-06	-5.905426e-08	-5.451057e+01	-3.878550e+03
1.600000e-07	-7.599958e-06	-5.907316e-08	-5.420259e+01	-3.874551e+03
1.700000e-07	-7.554166e-06	-5.902154e-08	-5.387600e+01	-3.870112e+03
1.800000e-07	-7.505610e-06	-5.883248e-08	-5.352970e+01	-3.865194e+03
1.900000e-07	-7.454092e-06	-5.881313e-08	-5.316228e+01	-3.859791e+03
2.000000e-07	-7.399683e-06	-5.868660e-08	-5.277424e+01	-3.853913e+03
2.100000e-07	-7.342592e-06	-5.853216e-08	-5.236706e+01	-3.847565e+03
2.200000e-07	-7.282819e-06	-5.847897e-08	-5.194077e+01	-3.840735e+03
2.300000e-07	-7.220431e-06	-5.836458e-08	-5.149582e+01	-3.833385e+03
2.400000e-07	-7.155368e-06	-5.823102e-08	-5.103179e+01	-3.825464e+03
2.500000e-07	-7.087555e-06	-5.802199e-08	-5.054815e+01	-3.816918e+03
2.600000e-07	-7.017032e-06	-5.791453e-08	-5.004519e+01	-3.807716e+03
2.700000e-07	-6.943694e-06	-5.778121e-08	-4.952214e+01	-3.797862e+03
2.800000e-07	-6.867561e-06	-5.759889e-08	-4.897916e+01	-3.787401e+03
2.900000e-07	-6.788673e-06	-5.743983e-08	-4.841654e+01	-3.776408e+03
3.000000e-07	-6.707108e-06	-5.728801e-08	-4.783482e+01	-3.764963e+03
3.100000e-07	-6.623238e-06	-5.711483e-08	-4.723666e+01	-3.753130e+03
3.200000e-07	-6.537207e-06	-5.686301e-08	-4.662309e+01	-3.740927e+03
